Disease Category,Disease,January,February,March,April,May,June,July,August,September,October,November,December,Yearly Cases,Year
Diseases Transmitted by Direct Contact and Respiratory Routes,Tuberculosis,6528,5378,4564,1137,4573,5753,8346,6548,8785,5425,452,1889,59378,2021
Diseases Transmitted by Direct Contact and Respiratory Routes,Tuberculosis,4279,2925,9512,4349,626,1776,9774,7119,5663,5139,7149,9932,68243,2022
Diseases Transmitted by Direct Contact and Respiratory Routes,Tuberculosis,8379,1894,6311,9446,3114,4173,727,7144,27,8518,8821,3228,61782,2023
Diseases Transmitted by Direct Contact and Respiratory Routes,Tuberculosis,5967,7066,1146,5409,5143,2041,4920,8308,5067,6691,5344,6592,63694,2024
Diseases Transmitted by Direct Contact and Respiratory Routes,Tuberculosis,4844,9083,2085,3143,6888,6211,2851,9324,4930,6653,8977,6,64995,2025
Diseases Transmitted by Direct Contact and Respiratory Routes,"Tuberculosis infection, latent (LTBI)",4978,4700,3443,7043,9502,9939,5279,7618,7238,7244,3501,8375,78860,2021
Diseases Transmitted by Direct Contact and Respiratory Routes,"Tuberculosis infection, latent (LTBI)",7752,2780,1389,4649,8445,5491,1530,3848,5085,3680,3262,2414,50325,2022
Diseases Transmitted by Direct Contact and Respiratory Routes,"Tuberculosis infection, latent (LTBI)",400,757,4011,7784,1193,7461,6790,9431,3185,6291,8099,6547,61949,2023
Diseases Transmitted by Direct Contact and Respiratory Routes,"Tuberculosis infection, latent (LTBI)",3997,2417,90,1746,6965,3585,2881,8486,7611,822,9132,4082,51814,2024
Diseases Transmitted by Direct Contact and Respiratory Routes,"Tuberculosis infection, latent (LTBI)",1988,7478,2184,7612,8702,9157,9755,5198,7251,8270,6991,8976,83562,2025
Enteric Food and Waterborne Diseases,Amebiasis,7305,2607,7777,7373,4246,4050,4543,8540,7939,3919,4499,7206,70004,2021
Enteric Food and Waterborne Diseases,Amebiasis,1269,4681,3841,4451,5502,5238,8849,1320,2267,2471,3788,6275,49952,2022
Enteric Food and Waterborne Diseases,Amebiasis,2503,3505,1052,6797,6678,5421,8890,7633,6812,1020,3388,6883,60582,2023
Enteric Food and Waterborne Diseases,Amebiasis,6381,9569,320,9432,6232,7814,96,5763,4892,6389,6865,8818,72571,2024
Enteric Food and Waterborne Diseases,Amebiasis,8947,9883,3613,7999,3595,4471,7140,7956,475,6371,5507,6624,72581,2025
Enteric Food and Waterborne Diseases,Botulism,2704,7657,2091,8751,441,6455,9697,9246,444,1375,7022,2223,58106,2021
Enteric Food and Waterborne Diseases,Botulism,7564,2977,823,4262,6211,5363,3467,7449,5355,5529,6211,4558,59769,2022
Enteric Food and Waterborne Diseases,Botulism,6906,4133,1341,7705,317,8837,853,5733,3673,1124,659,508,41789,2023
Enteric Food and Waterborne Diseases,Botulism,4051,3266,333,2496,3908,2068,7758,1874,9240,3571,7619,4198,50382,2024
Enteric Food and Waterborne Diseases,Botulism,6043,2749,9926,9949,1876,2683,5096,1771,9481,420,5111,9433,64538,2025
Enteric Food and Waterborne Diseases,Campylobacter enteritis,6149,6498,3249,1245,9700,3978,1669,4941,9837,1983,9272,672,59193,2021
Enteric Food and Waterborne Diseases,Campylobacter enteritis,5688,8728,7018,6071,1129,8289,5590,207,6882,8031,1729,7102,66464,2022
Enteric Food and Waterborne Diseases,Campylobacter enteritis,5934,7532,2506,7135,2885,8548,4425,8817,7921,7616,7136,9707,80162,2023
Enteric Food and Waterborne Diseases,Campylobacter enteritis,4397,5280,4022,1419,4569,7385,3995,7613,9336,9999,6209,5511,69735,2024
Enteric Food and Waterborne Diseases,Campylobacter enteritis,470,8098,5325,2979,7988,3475,5813,4232,5576,4581,9767,4526,62830,2025
Enteric Food and Waterborne Diseases,Cholera,9106,166,8464,3130,1402,3954,6658,8004,9096,3937,7800,8041,69758,2021
Enteric Food and Waterborne Diseases,Cholera,7342,282,1524,4820,3630,6625,3986,5016,9528,6046,7753,9068,65620,2022
Enteric Food and Waterborne Diseases,Cholera,8698,5632,6971,9017,5419,5764,7434,4438,5023,4118,3777,1976,68267,2023
Enteric Food and Waterborne Diseases,Cholera,3155,5169,1958,8779,3033,3138,3545,7933,4530,9659,8595,9777,69271,2024
Enteric Food and Waterborne Diseases,Cholera,4636,1647,3180,4853,3727,5912,2939,4952,231,8751,2073,4494,47395,2025
Enteric Food and Waterborne Diseases,Cryptosporidiosis,745,893,9066,4786,2068,8042,1680,200,9405,4658,7690,7843,57076,2021
Enteric Food and Waterborne Diseases,Cryptosporidiosis,7216,5582,3020,841,4136,7827,1869,1070,6565,8056,1213,9453,56848,2022
Enteric Food and Waterborne Diseases,Cryptosporidiosis,878,2485,2444,9221,4978,1395,4066,1940,9143,6818,9933,9766,63067,2023
Enteric Food and Waterborne Diseases,Cryptosporidiosis,3697,8561,6232,7381,7253,4871,9642,7025,5003,9316,986,9988,79955,2024
Enteric Food and Waterborne Diseases,Cryptosporidiosis,1625,3404,3457,4335,1330,2573,3929,2847,9043,1229,2564,43,36379,2025
Enteric Food and Waterborne Diseases,Cyclosporiasis,6693,7381,9729,7699,4771,534,3792,4720,4632,7438,1166,3824,62379,2021
Enteric Food and Waterborne Diseases,Cyclosporiasis,4334,9663,3241,6965,1880,8922,3683,2441,4352,2330,1169,977,49957,2022
Enteric Food and Waterborne Diseases,Cyclosporiasis,2718,5039,9749,9325,4728,7195,2037,7679,4982,6594,4460,8199,72705,2023
Enteric Food and Waterborne Diseases,Cyclosporiasis,8847,8090,7172,1317,9798,653,7078,5280,9891,4102,423,1496,64147,2024
Enteric Food and Waterborne Diseases,Cyclosporiasis,3750,9424,9619,339,4415,9441,659,2870,7708,8502,7245,4557,68529,2025
Enteric Food and Waterborne Diseases,Food poisoning,2973,9590,7141,8056,1494,7700,5700,6690,5460,5260,1713,2634,64411,2021
Enteric Food and Waterborne Diseases,Food poisoning,5403,6744,8117,4722,6561,9012,601,7451,1442,5153,4135,5296,64637,2022
Enteric Food and Waterborne Diseases,Food poisoning,1899,6622,8431,18,8889,7569,6770,888,3073,8494,5927,8167,66747,2023
Enteric Food and Waterborne Diseases,Food poisoning,7242,845,3335,4375,8998,2146,4719,7178,7941,1989,472,9975,59215,2024
Enteric Food and Waterborne Diseases,Food poisoning,3920,2594,5091,9024,224,9048,6684,1527,3681,1858,7560,1924,53135,2025
Enteric Food and Waterborne Diseases,Giardiasis,2522,8165,4781,8337,4479,6807,7905,7736,3993,7483,9031,2369,73608,2021
Enteric Food and Waterborne Diseases,Giardiasis,6284,3122,9820,8327,2236,1143,4526,6798,5568,8318,4377,42,60561,2022
Enteric Food and Waterborne Diseases,Giardiasis,4634,4891,9616,9501,8022,2434,7316,8824,7935,5654,5446,9042,83315,2023
Enteric Food and Waterborne Diseases,Giardiasis,8903,6180,7460,5272,3090,3912,9368,6274,3826,6730,715,5213,66943,2024
Enteric Food and Waterborne Diseases,Giardiasis,7749,6246,6325,2492,8115,606,2068,8229,9669,5439,1644,7213,65795,2025
Enteric Food and Waterborne Diseases,Hepatitis A,1633,8617,7486,251,2361,6717,2529,1225,7692,4342,5546,6512,54911,2021
Enteric Food and Waterborne Diseases,Hepatitis A,1315,5383,8742,6226,5188,7994,8864,588,1121,3846,4708,3727,57702,2022
Enteric Food and Waterborne Diseases,Hepatitis A,1480,7110,1612,1646,7269,2725,4906,474,753,5314,919,4806,39014,2023
Enteric Food and Waterborne Diseases,Hepatitis A,5873,6141,7056,2385,4000,8702,6751,9272,2950,2785,2868,1293,60076,2024
Enteric Food and Waterborne Diseases,Hepatitis A,9985,6267,3945,8153,9554,2344,3804,7555,4161,7529,4183,153,67633,2025
Enteric Food and Waterborne Diseases,Listeriosis,7622,4712,8955,2588,1210,7237,5661,9626,4901,6951,4097,7484,71044,2021
Enteric Food and Waterborne Diseases,Listeriosis,4949,3263,6302,7916,1747,3886,6248,9370,5881,9417,4847,4837,68663,2022
Enteric Food and Waterborne Diseases,Listeriosis,359,6484,4497,132,9272,803,9935,8138,4689,3770,9946,5772,63797,2023
Enteric Food and Waterborne Diseases,Listeriosis,3588,3115,4106,2240,1591,645,5061,7222,546,9495,5977,2153,45739,2024
Enteric Food and Waterborne Diseases,Listeriosis,1476,4835,5352,6807,2877,3289,2165,8837,5994,8697,8221,4465,63015,2025
Enteric Food and Waterborne Diseases,Paralytic shellfish poisoning,2695,4210,7894,4835,5549,1886,7673,1233,2306,3696,6511,9131,57619,2021
Enteric Food and Waterborne Diseases,Paralytic shellfish poisoning,5992,1479,6464,228,4332,8791,2024,7451,6038,4295,9577,6242,62913,2022
Enteric Food and Waterborne Diseases,Paralytic shellfish poisoning,6086,1775,3830,7724,410,9198,5374,9995,3626,1035,7606,4951,61610,2023
Enteric Food and Waterborne Diseases,Paralytic shellfish poisoning,6689,1911,2290,742,609,4986,8071,1902,1592,3846,8807,2222,43667,2024
Enteric Food and Waterborne Diseases,Paralytic shellfish poisoning,6367,7432,6078,8850,6866,9622,2531,6797,1622,8017,6686,4583,75451,2025
Enteric Food and Waterborne Diseases,Paratyphoid fever,536,6070,3559,7264,7285,3868,5942,1627,6018,8920,5876,992,57957,2021
Enteric Food and Waterborne Diseases,Paratyphoid fever,6523,4520,3109,2001,7450,1501,3475,9783,349,828,5464,3990,48993,2022
Enteric Food and Waterborne Diseases,Paratyphoid fever,2063,9250,3362,1124,9080,3394,9607,3538,3817,5383,2417,9764,62799,2023
Enteric Food and Waterborne Diseases,Paratyphoid fever,46,4542,2370,2129,8850,4106,2858,1801,422,2159,243,5869,35395,2024
Enteric Food and Waterborne Diseases,Paratyphoid fever,3898,9647,5304,258,2854,4347,858,2076,6897,8619,1862,1041,47661,2025
Enteric Food and Waterborne Diseases,Salmonellosis,7802,7344,5931,8408,9726,1786,7405,8254,3629,710,8543,4941,74479,2021
Enteric Food and Waterborne Diseases,Salmonellosis,7504,510,996,7847,6580,6984,1768,8032,7267,1204,1323,5277,55292,2022
Enteric Food and Waterborne Diseases,Salmonellosis,9966,2430,1076,2067,4505,9590,8984,5327,6240,9787,8692,4831,73495,2023
Enteric Food and Waterborne Diseases,Salmonellosis,7433,8282,9919,7048,1624,1874,9033,3522,7046,7398,3743,6779,73701,2024
Enteric Food and Waterborne Diseases,Salmonellosis,5553,7430,6532,6815,1557,5120,6992,5120,4176,6132,2500,7770,65697,2025
Enteric Food and Waterborne Diseases,Shigellosis,1099,1494,1398,1527,7075,1582,6105,2131,9115,982,9608,9201,51317,2021
Enteric Food and Waterborne Diseases,Shigellosis,9202,5400,2002,6730,5793,6929,842,4712,9837,5119,5761,1697,64024,2022
Enteric Food and Waterborne Diseases,Shigellosis,9468,8313,3485,2535,7900,3674,1773,5736,9113,6022,1882,4564,64465,2023
Enteric Food and Waterborne Diseases,Shigellosis,9406,3705,7030,9190,9121,430,9977,4381,474,2955,4477,5062,66208,2024
Enteric Food and Waterborne Diseases,Shigellosis,5567,5751,100,2972,2347,9278,6566,1140,2324,502,1503,8691,46741,2025
Enteric Food and Waterborne Diseases,Trichinosis,3524,6163,6878,7432,5585,2578,6062,5105,5314,9299,9768,1391,69099,2021
Enteric Food and Waterborne Diseases,Trichinosis,861,2549,2579,815,1336,4458,7259,6947,7957,9946,7242,6785,58734,2022
Enteric Food and Waterborne Diseases,Trichinosis,4475,3531,8394,1864,5655,7043,1816,4640,9717,7972,8633,5053,68793,2023
Enteric Food and Waterborne Diseases,Trichinosis,744,3612,6475,9819,897,125,3349,4938,3460,2248,4186,4742,44595,2024
Enteric Food and Waterborne Diseases,Trichinosis,5375,1965,126,8149,7055,2878,2116,6229,8725,3770,8196,9154,63738,2025
Enteric Food and Waterborne Diseases,Typhoid fever,5802,1180,6505,693,7147,307,7532,1275,5129,9433,7033,9394,61430,2021
Enteric Food and Waterborne Diseases,Typhoid fever,6626,6843,4743,1887,6636,341,5321,2815,7538,5928,1443,7155,57276,2022
Enteric Food and Waterborne Diseases,Typhoid fever,1734,3986,7138,9648,6560,8584,1288,6484,5083,5562,3630,5456,65153,2023
Enteric Food and Waterborne Diseases,Typhoid fever,2754,1251,8363,1868,8693,8355,3176,5724,5752,2419,3871,1684,53910,2024
Enteric Food and Waterborne Diseases,Typhoid fever,2399,4193,3232,2842,9869,2504,1234,2902,8095,7601,9236,9494,63601,2025
Enteric Food and Waterborne Diseases,Verotoxin-producing E. coli infection (VTEC),7354,9248,5295,5179,2473,7205,1118,7682,7245,4961,4500,9689,71949,2021
Enteric Food and Waterborne Diseases,Verotoxin-producing E. coli infection (VTEC),920,5766,8312,1215,5085,7565,7404,616,932,6041,4703,1257,49816,2022
Enteric Food and Waterborne Diseases,Verotoxin-producing E. coli infection (VTEC),1479,9733,8307,6299,7581,9508,9081,672,7368,9366,3084,5267,77745,2023
Enteric Food and Waterborne Diseases,Verotoxin-producing E. coli infection (VTEC),9912,7792,8214,2471,1013,7381,1695,5626,1381,8266,2827,641,57219,2024
Enteric Food and Waterborne Diseases,Verotoxin-producing E. coli infection (VTEC),4059,7172,7199,8586,8564,9991,2600,5962,6108,4634,6347,6697,77919,2025
Enteric Food and Waterborne Diseases,Yersiniosis,5543,9795,857,5482,1079,5401,1548,9141,6333,4655,4128,9874,63836,2021
Enteric Food and Waterborne Diseases,Yersiniosis,2463,5461,1335,9547,2317,5731,5082,6421,2112,9749,1388,5072,56678,2022
Enteric Food and Waterborne Diseases,Yersiniosis,9157,6171,5381,2093,8624,1531,6937,8331,5928,298,5940,5060,65451,2023
Enteric Food and Waterborne Diseases,Yersiniosis,2953,3509,5598,7967,3145,3711,2253,2538,1264,4846,1657,8317,47758,2024
Enteric Food and Waterborne Diseases,Yersiniosis,8843,8626,618,5517,2147,9785,6172,2527,2658,2962,2712,7170,59737,2025
Sexually Transmitted and Bloodborne Infections,AIDS,715,6731,5968,3891,7277,4668,7355,3833,8749,3918,5070,7684,65859,2021
Sexually Transmitted and Bloodborne Infections,AIDS,3178,6026,9345,7218,7564,4616,6256,8239,8641,6859,2655,3271,73868,2022
Sexually Transmitted and Bloodborne Infections,AIDS,9906,2267,4096,854,7873,6081,9085,1680,8452,2042,4670,1374,58380,2023
Sexually Transmitted and Bloodborne Infections,AIDS,2626,4469,7361,8410,2414,7167,1502,3637,7391,5727,436,6797,57937,2024
Sexually Transmitted and Bloodborne Infections,AIDS,872,6495,8224,6126,3862,6326,1337,6142,3678,461,5221,1623,50367,2025
Sexually Transmitted and Bloodborne Infections,Chancroid,5493,2392,2254,627,4700,7740,2273,7685,7349,86,1298,311,42208,2021
Sexually Transmitted and Bloodborne Infections,Chancroid,4193,3533,2449,8991,9975,8647,6934,1821,4720,3893,4934,1996,62086,2022
Sexually Transmitted and Bloodborne Infections,Chancroid,782,3906,6878,7489,1029,1816,8189,9776,8782,269,8443,9421,66780,2023
Sexually Transmitted and Bloodborne Infections,Chancroid,3963,2352,4772,7032,25,5780,3941,9349,6825,3068,1402,8576,57085,2024
Sexually Transmitted and Bloodborne Infections,Chancroid,5908,1108,8618,8914,8312,8316,9079,333,6397,7702,713,6338,71738,2025
Sexually Transmitted and Bloodborne Infections,Chlamydia,6116,4155,266,5850,1106,5649,3950,1698,9533,5447,2185,726,46681,2021
Sexually Transmitted and Bloodborne Infections,Chlamydia,5772,8945,5546,2868,7612,7840,2986,2209,1033,7498,605,4807,57721,2022
Sexually Transmitted and Bloodborne Infections,Chlamydia,3302,717,3268,686,5170,5080,8444,6524,8897,7756,4150,599,54593,2023
Sexually Transmitted and Bloodborne Infections,Chlamydia,3131,4687,5848,783,5438,4476,2039,6029,7159,6553,7204,6334,59681,2024
Sexually Transmitted and Bloodborne Infections,Chlamydia,5554,3060,8129,8151,6018,8507,4369,1353,6955,1293,7055,9870,70314,2025
Sexually Transmitted and Bloodborne Infections,Gonorrhea,2956,8937,4813,5262,1680,1311,5372,4843,5021,7305,9873,6981,64354,2021
Sexually Transmitted and Bloodborne Infections,Gonorrhea,2730,7272,5759,7325,693,5776,7126,4498,939,1229,6655,5952,55954,2022
Sexually Transmitted and Bloodborne Infections,Gonorrhea,8406,2621,510,2339,9954,7179,570,2068,1101,3866,6001,5933,50548,2023
Sexually Transmitted and Bloodborne Infections,Gonorrhea,6272,9293,530,9913,2513,7371,6077,6095,7273,1259,9403,2255,68254,2024
Sexually Transmitted and Bloodborne Infections,Gonorrhea,8674,6012,6521,5150,4566,4089,1858,424,3048,8176,8482,6340,63340,2025
Sexually Transmitted and Bloodborne Infections,HIV,9202,1929,4288,4264,7311,3515,4678,8047,3279,2009,2223,1213,51958,2021
Sexually Transmitted and Bloodborne Infections,HIV,7406,2828,7292,1438,5236,5692,1063,9011,8882,4757,4914,2580,61099,2022
Sexually Transmitted and Bloodborne Infections,HIV,2852,5922,8335,3673,1988,3292,2275,3878,8094,430,5912,9077,55728,2023
Sexually Transmitted and Bloodborne Infections,HIV,9376,6044,7657,9038,2126,1412,1077,5067,6523,7842,8612,6730,71504,2024
Sexually Transmitted and Bloodborne Infections,HIV,6708,9419,1208,2053,5194,1215,7372,7632,8476,5644,2102,9032,66055,2025
Sexually Transmitted and Bloodborne Infections,Hepatitis B carriers,9630,2981,2114,7088,8238,907,2034,8488,2507,4982,2697,2653,54319,2021
Sexually Transmitted and Bloodborne Infections,Hepatitis B carriers,5286,3694,5669,8501,4653,1292,4105,3216,9024,4496,2050,4961,56947,2022
Sexually Transmitted and Bloodborne Infections,Hepatitis B carriers,8740,1530,8234,2762,9696,9513,2526,2804,9914,5531,9234,674,71158,2023
Sexually Transmitted and Bloodborne Infections,Hepatitis B carriers,464,1330,744,9449,4336,3453,9373,6825,496,8159,8938,4745,58312,2024
Sexually Transmitted and Bloodborne Infections,Hepatitis B carriers,4949,7912,4012,6653,4873,7430,1195,981,2589,7202,6809,7933,62538,2025
Sexually Transmitted and Bloodborne Infections,Hepatitis B cases,7609,3342,5573,9939,2353,5121,5231,5658,6532,2142,6070,8437,68007,2021
Sexually Transmitted and Bloodborne Infections,Hepatitis B cases,9202,1739,5228,3960,7642,2007,4382,7366,4061,2308,1586,829,50310,2022
Sexually Transmitted and Bloodborne Infections,Hepatitis B cases,4754,6293,6850,4067,2616,5364,9464,5123,3110,2610,8163,8433,66847,2023
Sexually Transmitted and Bloodborne Infections,Hepatitis B cases,7648,8171,5055,8148,379,1475,6442,8281,7491,3944,3524,9557,70115,2024
Sexually Transmitted and Bloodborne Infections,Hepatitis B cases,5781,797,828,4609,8108,9789,7710,4681,8793,133,1761,7060,60050,2025
Sexually Transmitted and Bloodborne Infections,Hepatitis B unclassified reports,2194,4333,5992,6606,5995,741,6563,838,9343,9204,3189,5939,60937,2021
Sexually Transmitted and Bloodborne Infections,Hepatitis B unclassified reports,9064,4728,1204,6329,8261,7378,9008,4582,1946,2108,1584,6453,62645,2022
Sexually Transmitted and Bloodborne Infections,Hepatitis B unclassified reports,6114,5555,9139,5990,2363,3261,9870,8341,6576,8193,659,742,66803,2023
Sexually Transmitted and Bloodborne Infections,Hepatitis B unclassified reports,637,2245,5456,7761,8508,7487,2440,9932,8446,2290,5373,5218,65793,2024
Sexually Transmitted and Bloodborne Infections,Hepatitis B unclassified reports,2662,6438,4902,9727,5511,8311,8351,8721,8025,9222,4911,7780,84561,2025
Sexually Transmitted and Bloodborne Infections,Hepatitis C,272,6035,5427,1795,6824,9563,5040,436,9779,7775,4350,9477,66773,2021
Sexually Transmitted and Bloodborne Infections,Hepatitis C,9463,3728,841,9560,7871,2793,8589,6229,2421,3968,517,9380,65360,2022
Sexually Transmitted and Bloodborne Infections,Hepatitis C,1800,3125,310,7225,5139,6861,2481,6765,3340,6723,8221,7726,59716,2023
Sexually Transmitted and Bloodborne Infections,Hepatitis C,1020,2262,8498,3397,9189,5325,7837,8609,6173,5140,2837,7531,67818,2024
Sexually Transmitted and Bloodborne Infections,Hepatitis C,8734,5608,8950,5804,4331,9995,7932,3150,4038,4571,9143,4890,77146,2025
Sexually Transmitted and Bloodborne Infections,Ophthalmia neonatorum,3684,4876,4735,3396,8011,5194,7861,5714,9183,4480,4715,1996,63845,2021
Sexually Transmitted and Bloodborne Infections,Ophthalmia neonatorum,9395,8899,6220,6464,5654,2399,4758,689,4712,1294,5674,7247,63405,2022
Sexually Transmitted and Bloodborne Infections,Ophthalmia neonatorum,4201,7849,3505,3310,8824,4442,9208,4450,2249,1789,9614,3920,63361,2023
Sexually Transmitted and Bloodborne Infections,Ophthalmia neonatorum,3972,831,8700,3697,3814,860,1641,6771,5411,7739,1647,2252,47335,2024
Sexually Transmitted and Bloodborne Infections,Ophthalmia neonatorum,84,9016,2587,6666,7793,7822,3267,4706,5262,4676,969,1465,54313,2025
Sexually Transmitted and Bloodborne Infections,"Syphilis, early congenital",9406,3804,8767,611,2868,6846,2880,595,6504,8116,3052,4742,58191,2021
Sexually Transmitted and Bloodborne Infections,"Syphilis, early congenital",613,151,4888,9305,9875,1758,5489,4662,7444,8901,8590,8092,69768,2022
Sexually Transmitted and Bloodborne Infections,"Syphilis, early congenital",2198,8261,7668,4470,3159,1845,5417,2662,7518,4215,3050,230,50693,2023
Sexually Transmitted and Bloodborne Infections,"Syphilis, early congenital",5523,4833,9302,3164,2875,6643,7007,8442,5372,1421,6567,1562,62711,2024
Sexually Transmitted and Bloodborne Infections,"Syphilis, early congenital",3027,2303,7822,5301,4064,111,4272,6284,3858,7319,4374,5400,54135,2025
Sexually Transmitted and Bloodborne Infections,"Syphilis, infectious",4947,9543,9386,187,4285,5890,3871,1017,1936,7625,5026,2616,56329,2021
Sexually Transmitted and Bloodborne Infections,"Syphilis, infectious",6642,8233,5095,1923,4833,6021,3618,3590,2188,7834,2509,7454,59940,2022
Sexually Transmitted and Bloodborne Infections,"Syphilis, infectious",9924,6121,6813,8998,7714,8806,3578,4054,9761,1341,8609,7319,83038,2023
Sexually Transmitted and Bloodborne Infections,"Syphilis, infectious",8653,5927,1279,9243,1838,1011,8972,8281,3312,9383,8792,2455,69146,2024
Sexually Transmitted and Bloodborne Infections,"Syphilis, infectious",2695,5375,8525,7239,1904,3365,9554,8008,1489,8361,7298,911,64724,2025
Sexually Transmitted and Bloodborne Infections,"Syphilis, late congenital",7429,2161,8409,6806,7484,9239,945,9155,7575,5049,356,6487,71095,2021
